id,category,question,ground_truth,reference_context
core-001,core,What is the difference between a Jenkins controller and agent?,"The controller manages jobs, scheduling, and configuration, while agents execute build steps on allocated nodes.","The controller manages jobs, scheduling, and configuration, while agents execute build steps on allocated nodes."
core-002,core,What is a Jenkinsfile?,A Jenkinsfile is a text file in source control that defines a Pipeline as code.,A Jenkinsfile is a text file in source control that defines a Pipeline as code.
core-003,core,When should I use Declarative Pipeline instead of Scripted Pipeline?,"Declarative Pipeline is preferred for readability and guardrails, while Scripted Pipeline is used when advanced Groovy control flow is required.","Declarative Pipeline is preferred for readability and guardrails, while Scripted Pipeline is used when advanced Groovy control flow is required."
core-004,core,What is a stage in a Jenkins Pipeline?,"A stage is a logical phase of the pipeline, such as build, test, or deploy, used to organize and visualize execution.","A stage is a logical phase of the pipeline, such as build, test, or deploy, used to organize and visualize execution."
core-005,core,How does the post section work in Declarative Pipeline?,"The post section runs conditionally after stages, for example always, success, failure, unstable, or cleanup.","The post section runs conditionally after stages, for example always, success, failure, unstable, or cleanup."
core-006,core,How do I avoid hardcoding secrets in Jenkins pipelines?,Store secrets in Jenkins Credentials and access them with credentials binding steps instead of writing secrets directly in code.,Store secrets in Jenkins Credentials and access them with credentials binding steps instead of writing secrets directly in code.
core-007,core,What is the purpose of the environment directive in Declarative Pipeline?,The environment directive defines environment variables that are available to steps in the pipeline or a specific stage.,The environment directive defines environment variables that are available to steps in the pipeline or a specific stage.
core-008,core,How can I run the same pipeline on different platforms?,Use matrix or parallel stages with agent labels so each branch runs on the platform-specific node.,Use matrix or parallel stages with agent labels so each branch runs on the platform-specific node.
core-009,core,What does disableConcurrentBuilds do in a pipeline?,disableConcurrentBuilds prevents multiple runs of the same job from executing at the same time.,disableConcurrentBuilds prevents multiple runs of the same job from executing at the same time.
core-010,core,How do I set a timeout for an entire pipeline run?,"Use options { timeout(...) } in Declarative Pipeline, or the timeout step in Scripted blocks.","Use options { timeout(...) } in Declarative Pipeline, or the timeout step in Scripted blocks."
core-011,core,What does retry do in Jenkins pipeline scripts?,retry reruns a failing block a defined number of times to handle transient failures.,retry reruns a failing block a defined number of times to handle transient failures.
core-012,core,What is stash and unstash used for?,"stash stores small workspace files for later pipeline stages, and unstash restores them on another node or stage.","stash stores small workspace files for later pipeline stages, and unstash restores them on another node or stage."
